RGD:2318353	LOC100362333
RGD:621168	Ogg1
RGD:620058	Polk
RGD:621424	Lig1
RGD:1308247	Polm
RGD:2219	Brca2
RGD:2218	Brca1
RGD:1308053	Poll
RGD:1306715	Rev1
RGD:1306496	Rad1
RGD:3106	Mpg
RGD:7675413	Poln
RGD:1307200	Ung
RGD:3363	Polb
RGD:1560342	Tdp2
RGD:1304639	Lig4
RGD:1309893	Polh
RGD:1309875	Lig3
RGD:1309795	Polq
RGD:1586156	Top2b
RGD:620959	Tdg
RGD:1309618	Tdp1
RGD:1307611	Dmc1
RGD:620045	Mutyh
RGD:1305212	Poli
RGD:1560103	Helb
RGD:1306077	Neil1
RGD:1312033	Neil2
RGD:1310562	Neil3
RGD:620057	Polg
RGD:1310343	Dclre1b
RGD:1306156	Dclre1a
RGD:1304975	Rad52
RGD:708574	Dclre1c
RGD:1307483	Tonsl
RGD:1306791	Dna2
RGD:3087	Mgmt
RGD:1562119	Primpol
RGD:1309289	Nthl1
RGD:1304693	Mms22l
RGD:1594540	Pole
RGD:621839	Pold1
RGD:621816	Pola1
RGD:1309395	Polr2i
RGD:1561068	Mcmdc2
RGD:2643	Xrcc6
RGD:1308223	Rad9b
RGD:1561931	Nexmif
RGD:1307087	Rev3l
RGD:1560340	Ercc4
RGD:3976	Xrcc5
RGD:619823	Xrcc1
RGD:1305218	Mcm8
RGD:2319938	Rad9a
RGD:1308982	Prkdc
RGD:621889	Ddb1
RGD:1585874	Mbd4
RGD:1305128	Polg2
RGD:1586053	Pif1
RGD:1359475	Pole3
RGD:1304954	Pold2
RGD:1311962	Pole2
RGD:1311935	Chd1l
RGD:1308519	Pold4
RGD:1311295	Dmap1
RGD:1307793	Pole4
RGD:1310164	Ddb2
RGD:1312027	Pold3
RGD:1559468	Mdc1
RGD:1566036	Spidr
RGD:1308769	Xpa
RGD:9095262	LOC103690054
RGD:1563954	Msh3
RGD:1303008	Msh5
RGD:628836	Wrnip1
RGD:1310823	Recql5
RGD:1306406	Cpsf1
RGD:1311071	Recql
RGD:1311055	Gins2
RGD:2322311	Msh6
RGD:1309190	Msh4
RGD:1311208	Rbm17
RGD:1308327	Alkbh1
RGD:1311636	Sf3b3
RGD:1307732	Recql4
RGD:70892	Cdc5l
RGD:1307139	Ercc3
RGD:1305760	Xpc
RGD:1304857	Slf1
RGD:1564788	Wrn
RGD:620786	Msh2
RGD:631403	Smug1
RGD:1591976	Hus1
RGD:1563765	Rad51c
RGD:621821	Fen1
RGD:620937	Mlh1
RGD:621198	Rfc2
RGD:1559792	Gen1
RGD:1309465	Exo1
RGD:1560681	Rad51b
RGD:1309280	Rfc5
RGD:1306298	Fbxo18
RGD:1593313	Esco2
RGD:1306832	Rfc3
RGD:1306721	Rtel1
RGD:1306675	Ddx11
RGD:1310142	Rfc4
RGD:1305483	Pms2
RGD:1309227	Mlh3
RGD:1309109	Ercc2
RGD:1564823	Xrcc2
RGD:1586176	Ercc5
RGD:1596873	Esco1
RGD:1307659	Brip1
RGD:1563603	Rad51
RGD:11468204	LOC108349189
RGD:1306377	Alkbh2
RGD:1590928	Cdc45
RGD:1307397	Gins4
RGD:1307465	Mgme1
RGD:1359731	Alkbh3
RGD:1310568	Parp2
RGD:5128728	Cenps
RGD:1311941	Asf1a
RGD:1308026	Swsap1
RGD:1309067	Eme1
RGD:619714	Rpa2
RGD:1307995	Ascc3
RGD:1306134	Smarcal1
RGD:1306810	Rpa3
RGD:1306944	Rad51d
RGD:1308929	Fam168a
RGD:1309007	Mnd1
RGD:1564952	Zranb3
RGD:2314264	Parpbp
RGD:1307248	Rnaseh2a
RGD:1304924	Eme2
RGD:1560557	Mcm9
RGD:1307401	Eepd1
RGD:1559966	Swi5
RGD:1311957	Mus81
RGD:621543	Chek2
RGD:1311311	Slc25a16
RGD:1305121	Fto
RGD:1307376	Rpa1
RGD:1597431	Rad51ap1
RGD:1565882	Setmar
RGD:1306215	Paxx
RGD:1311087	Exd2
RGD:1359511	Pms1
RGD:1359338	Nhej1
RGD:1566323	Fan1
RGD:1564836	RGD1564836
RGD:1310324	Zswim7
RGD:1305189	Parp3
RGD:2330	Cebpg
RGD:1308810	Blm
RGD:1565983	Apex2
RGD:1583288	Rnf169
RGD:3269	Pcna
RGD:9295713	LOC103690165
RGD:1304637	Oraov1
RGD:1310969	Ino80
RGD:69263	Mre11a
RGD:1303309	Gtf2h4
RGD:1308351	Cdc7
RGD:1305243	Rfwd3
RGD:1565378	Spata22
RGD:1303041	Pclaf
RGD:1565217	Ccno
RGD:1306507	Rad54b
RGD:61807	Foxm1
RGD:628740	Aptx
RGD:1583204	Meiob
RGD:1305287	Abraxas1
RGD:1561451	Nudt16l1
RGD:1560612	Phf21a
RGD:1563238	LOC500077
RGD:1304643	Aste1
RGD:1309515	Rad17
RGD:3982	Yy1
RGD:1309684	Terf2ip
RGD:1561555	Fancb
RGD:1310432	Rdm1
RGD:1593125	Ap5z1
RGD:1565557	Aplf
RGD:3794	Sycp1
RGD:1310600	Rad54l
RGD:1359572	Ino80e
RGD:1308174	Fign
RGD:1308923	Faap20
RGD:1359404	Rhno1
RGD:2126	Apex1
RGD:1306658	Nabp1
RGD:1304593	Ints3
RGD:1309802	Exo5
RGD:1359573	Xrcc4
RGD:1306509	Ruvbl2
RGD:1306454	Spo11
RGD:61991	Smc1a
RGD:1564036	Mrnip
RGD:1560991	Gtf2h5
RGD:620619	Rfc1
RGD:1308039	Tp53bp1
RGD:1311492	Hinfp
RGD:1308761	Smarcb1
RGD:2321863	Fanci
RGD:621542	Rad50
RGD:628699	Hmga1
RGD:1308158	Nabp2
RGD:1308852	Usp3
RGD:1306993	Rad18
RGD:1309681	Npas2
RGD:1597300	Tex12
RGD:1307094	Pds5a
RGD:1308492	Rpain
RGD:1559456	Six6os1
RGD:621143	Ssrp1
RGD:1590628	Sem1
RGD:1310199	Ino80c
RGD:1306992	Ercc1
RGD:1303246	Dek
RGD:1308548	Dhx9
RGD:1306693	Bach1
RGD:1308035	Rnf8
RGD:621420	Nbn
RGD:1566119	H2afx
RGD:1307703	Tmem161a
RGD:735111	Babam2
RGD:1359516	Babam1
RGD:619795	Atrx
RGD:620387	Parg
RGD:1309640	Smarcad1
RGD:1311998	Trex1
RGD:1305582	Mcmdc1
RGD:1562414	Endov
RGD:620993	Nucks1
RGD:1303331	Pnkp
RGD:1359638	Cdk9
RGD:620617	Hmga2
RGD:1585168	Rnf168
RGD:1308872	Rbbp8
RGD:1307009	Uimc1
RGD:1308340	Mum1
RGD:1306926	Faap100
RGD:3795	Sycp3
RGD:3884	Tnp1
RGD:1564719	Faap24
RGD:1307983	Inip
RGD:1305494	Gtf2h3
RGD:1563101	Klhl15
RGD:9203817	LOC103694876
RGD:1597206	Eid3
RGD:1311284	Ttc5
RGD:1307760	Nsmce1
RGD:2053	Parp1
RGD:1305481	Sfr1
RGD:1560300	Slf2
RGD:1595855	Uhrf1
RGD:68373	Ruvbl1
RGD:1306849	Xrcc3
RGD:1562474	Rif1
RGD:1549738	Nono
RGD:727923	Sfpq
RGD:62006	Smc3
RGD:1562211	Usp51
RGD:1311266	Tex15
RGD:1307312	Ppp4r2
RGD:621225	Ppp4c
RGD:1565986	Zfp365
RGD:620289	Trim28
RGD:70486	Cdk2
RGD:619888	Rps3
RGD:1311568	Slx1b
RGD:619903	Ddx1
RGD:620913	Hsf1
RGD:1307499	Mad2l2
RGD:1566009	Slx4
RGD:3192	Npm1
RGD:1565575	Setx
RGD:1305796	Atr
RGD:1310838	Pds5b
RGD:1562245	Trex2
RGD:1561852	Ap5s1
RGD:1307820	Zfyve26
RGD:1591045	Kdm4d
RGD:1307958	Actr5
RGD:1560216	Helq
RGD:621096	Ube2n
RGD:1311555	Usp28
RGD:1307761	Hmgn1
RGD:1559496	Sprtn
RGD:1562958	Rad23b
RGD:1308225	Gtf2h1
RGD:1311570	Ercc8
RGD:1306644	Dot1l
RGD:1309932	Eya3
RGD:628819	Trpc2
RGD:1311214	Smc6
