chr	start	end	gene_id	strand	kgID	bioentity	symbol	gene_info
chr1	2194108	2195108	uc057blf.1_up_1000_chr1_2194109_r	-	uc057blf.1	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2194213	2195213	uc057blh.1_up_1000_chr1_2194214_r	-	uc057blh.1	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2194739	2195739	uc057bli.1_up_1000_chr1_2194740_r	-	uc057bli.1	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2194741	2195741	uc057bld.1_up_1000_chr1_2194742_r	-	uc057bld.1	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2194748	2195748	uc057blj.1_up_1000_chr1_2194749_r	-	uc057blj.1	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2194750	2195750	uc031pku.2_up_1000_chr1_2194751_r	-	uc031pku.2	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2194751	2195751	uc031tmv.2_up_1000_chr1_2194752_r	-	uc031tmv.2	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2194774	2195774	uc001aiy.4_up_1000_chr1_2194775_r	-	uc001aiy.4	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2194775	2195775	uc031pkt.2_up_1000_chr1_2194776_r	-	uc031pkt.2	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2194775	2195775	uc057ble.1_up_1000_chr1_2194776_r	-	uc057ble.1	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2199907	2200907	uc057blg.1_up_1000_chr1_2199908_r	-	uc057blg.1	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2203882	2204882	uc057blk.1_up_1000_chr1_2203883_r	-	uc057blk.1	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2207733	2208733	uc057blc.1_up_1000_chr1_2207734_r	-	uc057blc.1	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2212574	2213574	uc057bll.1_up_1000_chr1_2212575_r	-	uc057bll.1	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2212720	2213720	uc031tmw.2_up_1000_chr1_2212721_r	-	uc031tmw.2	RGD:1308923	FAAP20	Fanconi anemia core complex associated protein 20
